CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
EDC,Energy Development Corporation,O,6.87,18737010000,128723258700,Industrial,"Electricity, Energy, Power & Water",January-December,22176800000,35013400000,93559400000,395800000,142807500000,14500000,13586300000,60336400000,77031200000,63686500000,65776300000,36408800000,11725000000,,7817900000,7965700000,6247500000,17235200000,-4722400000,-3345000000,4720900000,-9218500000,,-2630700000,-8335400000
EEI,EEI Corporation,O,5.02,1036281485,5202133055,Industrial,"Construction, Infra. & Allied Services",January-December,1612000000,19924000000,4543000000,3696000000,28964000000,8448000000,16774000000,1731000000,20624000000,8304000000,8340000000,23352000000,1139000000,437000000,982000000,976000000,845912900,902022700,-400613100,-218103800,1055895000,-949286400,,-207256300,-161251300
EMP,Emperador Inc.,O,8.04,15920376438,127999826562,Industrial,"Food, Beverage & Tobacco",January-December,7741000000,63845000000,28987000000,3024000000,125986000000,8782000000,28445000000,30460000000,61269000000,63818000000,64717000000,50260000000,8296000000,240000000,6727000000,6833000000,1546000000,6090000000,-2158000000,-1803000000,361500000,-427400000,-1639000000,0,-3950000000
EURO,"Euro-Med Laboratories Phil., Inc.",O,2.23,4112140540,9170073404,Industrial,Chemicals,January-December,551000000,4184000000,2806000000,1000000000,8578000000,2205000000,2550000000,695000000,3415000000,5163000000,5163000000,3789333333,501333333,,240000000,240000000,97779200,-118231733,-180245200,-18169467,2760100000,-2261100000,,-205607000,293485700
FB,"San Miguel Food and Beverage, Inc.",O,68.5,5909220090,404781576165,Industrial,"Food, Beverage & Tobacco",January-December,36138000000,101977000000,84443000000,3024000000,263891000000,14141000000,70945000000,62950000000,135432000000,80723000000,128459000000,304148000000,45614000000,-187000000,18141000000,30742000000,11477000000,43216000000,-29826000000,-28779000000,36647000000,-13345000000,-14997000000,-18850000000,-18717000000
FGEN,First Gen Corporation,O,22.5,3597914505,80953076363,Industrial,"Electricity, Energy, Power & Water",January-December,38365000000,70224000000,128550000000,1858000000,267279000000,25818000000,51558000000,72007000000,131448000000,111046000000,135830000000,107945000000,26833000000,-378000000,14412000000,20234000000,11904000000,34737000000,-6456000000,-6214000000,8444000000,-14666000000,-5947000000,-2826000000,-23270000000
FOOD,"Alliance Select Foods International, Inc.",O,0.56,2499712463,1399838979,Industrial,"Food, Beverage & Tobacco",January-December,272000000,2271000000,806000000,,4147000000,1820000000,2240000000,5000000,2265000000,2000000000,1882000000,4692000000,141000000,0,-35000000,-35000000,50081400,-365561500,-37410300,-36125500,807352180,-897137333,,,-67064300
FPH,First Philippine Holdings Corporation,O,57,507875574,28948907718,Industrial,"Electricity, Energy, Power & Water",January-December,52005000000,123405000000,133765000000,37678000000,375568000000,37221000000,80833000000,98980000000,196011000000,103756000000,179557000000,130116000000,29495000000,385000000,12023000000,23422000000,13308000000,43967000000,-10675000000,-15147000000,8575000000,-26355000000,-3090000000,-848000000,-18155000000
FRUIT,"Fruitas Holdings, Inc.",O,1.34,2133680000,2859131200,Industrial,"Food, Beverage & Tobacco",January-December,,,,,,,,,,,,,,,,,,,,,,,,,
FYN-AB,Filsyn Corporation,S,,206246181,7938415404,Industrial,Other Industrials,January-December,48000000,63000000,,25000000,1012000000,1088000000,1569000000,,1647000000,-635000000,-635000000,39932000,17697333,,-1018667,-1018667,,91624000,,,,,,,
GREEN,Greenergy Holdings Incorporated,O,1.92,1800778572,3457494858,Industrial,Electrical Components & Equipment,January-December,1000000,761000000,427000000,2923000000,4208000000,,324000000,,324000000,3764000000,3884000000,5121700,-59395700,-5937700,2571802700,2556211600,22246200,-37830700,-321493900,-72886300,77900000,500000,,,91738900
GSMI,"Ginebra San Miguel,  Inc.",O,31.6,280720222,8870759015,Industrial,"Food, Beverage & Tobacco",January-December,1275000000,9421000000,4611000000,17000000,14876000000,1351000000,6292000000,732000000,7407000000,7469000000,7469000000,28249000000,2578000000,-187000000,1530000000,1530000000,725000000,1369000000,-419000000,-399000000,1806000000,-159000000,,-687000000,-748000000
HLCM,"Holcim Philippines, Inc.",O,6.36,6452099144,41035350556,Industrial,"Construction, Infra. & Allied Services",January-December,6782000000,15742000000,21896000000,4363000000,49376000000,8067000000,18970000000,1768000000,21106000000,28257000000,28270000000,32642000000,4499000000,134000000,3384000000,3388000000,1700000000,7681000000,-2157000000,-2021000000,13283700000,0,,-2712000000,885000000
